"Khu an toàn khoảng cách Thánh điện gần nhất, là hoàn toàn bị Thánh Tinh trì trường lực bao trùm phạm vi. Tạm thời không có bị ảnh hưởng dấu hiệu." Trả lời đây là tân nhậm người phụ trách Madilan.

	"Khói đen trừ ra khuếch tán ở ngoài, còn có cái gì dị tượng sao?" Lâm Thịnh hỏi lại.
	Tất cả mọi người dồn dập ngửa đầu, xem hướng thiên không, cầu nguyện thuộc về thánh quang thắng lợi.

	Vô số tiếng cầu nguyện, cuối cùng dồn dập hóa thành một câu thần thánh vĩnh tồn.

	Lượng lớn Thánh lực cuồn cuộn không ngừng hòa vào Thánh Tinh trì bên trong.

	"Ngươi đến cùng, là cái thứ gì! ! ?" Lâm Thịnh cả người Thánh lực cuồng bạo tùy ý tuôn ra.

	Vô cùng vô tận Thánh lực lấy trước nay chưa từng có to lớn nhất tốc độ bộc phát ra, chuyện này đối với thân thể của hắn cũng là trước nay chưa từng có gánh nặng.

	Hắn hướng lên trời nhìn tấm kia mặt người, cả người Âm Chuyển Tà Luân tầng gia trì không ngừng tăng cường thân thể, chữa trị thân thể. Sau đó lấy này bạo phát thánh quang, rồi mới miễn cưỡng cùng bàn tay kia chống lại giằng co.


********

Giúp vài phiếu lấy cảm hứng mấy đạo hữu

<a href="http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM">http://www.tangthuvien.vn/forum/showthread.php?t=155638&amp;fbclid=IwAR1Ov6zgXHMyMME44raiBYDF8nkuuzkHfmUbIHcRxEtWQPUjM3weqfinPcM</a>"Khu an toàn khoảng cách Thánh điện gần nhất, là hoàn toàn bị Thánh Tinh trì trường lực bao trùm phạm vi. Tạm thời không có bị ảnh hưởng dấu hiệu." Trả lời đây là tân nhậm người phụ trách Madilan.

	"Khói đen trừ ra khuếch tán ở ngoài, còn có cái gì dị tượng sao?" Lâm Thịnh hỏi lại.

	"Tạm thời không có phát hiện. Chỉ là như vậy vừa đến, chúng ta cùng ngoại giới liên hệ hoàn toàn đoạn tuyệt. Có lẽ không chỉ là chúng ta, tất cả thành thị cùng ngoại giới liên hệ đều đứt đoạn mất. Nếu là lại xảy ra vấn đề gì, liền phiền phức lớn rồi." Madilan trầm giọng nói.

	Lâm Thịnh lặng lẽ.

	Hắn trở về sau, liền vẫn ngốc ở trung tâm nghiên cứu phòng cách ly tiêu hóa hồn lực, mãi đến tận ngày hôm trước mới hoàn toàn hấp thu tất cả hồn lực, linh hồn tăng lên dữ dội một đoạn dài.

	Không nghĩ tới mới ra đến, liền gặp phải tình huống như thế.

	Hắn lúc này hồi tưởng lại, trước thông qua Thời gian chi sa nhìn thấy tình cảnh đó tình cảnh.

	Trong lòng không khỏi vừa kéo.

	Xem ra cần phải mau chóng bắt đầu dời đi kế hoạch.

	Hắn xâm chiếm tấn công nhiều như vậy Tà linh hang động, không phải là vì vào giờ phút này dời đi người may mắn còn sống sót.

	Chỉ là hắn mới vừa nổi lên cái ý niệm này.

	Bỗng nhiên tọa trấn Tà Linh cung bên trong Thiên Công Hà bên kia, cũng theo truyền tới một tin tức.

	"Tà linh hang động bên này cũng xuất hiện khói đen. Hơn nữa lan tràn rất nhanh!"

	"Cái gì! ?" Lâm Thịnh trong lòng lạnh lẽo, bỗng nhiên đứng lên.

	"Không thể! Tà linh bên kia trước còn rất tốt! Làm sao sẽ?"

	"Ta bước đầu hoài nghi, là chúng ta mở ra Tà Linh giới sau, mang tới khói đen. . . . ." Thiên Công Hà ở đầu kia trầm giọng nói.

	"Chúng ta mang tới?" Lâm Thịnh ngẩn ra.

	Hắn bỗng nhiên có chút rõ ràng, nếu như đúng là khói đen sẽ đuổi theo người đi, vậy cũng liền có thể giải thích, lúc trước Hắc Vũ thế giới Anceriea tại sao khổ sở truy tìm như thế nào giải quyết hắc triều.

	Mà không phải mang theo người may mắn còn sống sót thoát đi quyết định.

	Theo lý thuyết, Hắc Vũ thế giới cường giả đỉnh cao đám người, không đến nỗi không tìm được một cái kéo dài sinh mệnh bí cảnh không gian.

	Nhưng bọn họ từng cái từng cái lại không hề bất ngờ ngã xuống.

	Liền ngay cả Anceriea cũng lưu xuống một cái cái tràn ngập tuyệt vọng nhắn lại.

	"Nhất định phải qua khảo nghiệm, xác định khói đen có phải là thật hay không đi theo người sống ở đi!" Lâm Thịnh bỗng nhiên liên tưởng đến một cái để cho hắn cả người phát lạnh tình huống.

	Nếu như khói đen đúng là theo người đi, như vậy hắn lúc trước thông qua mộng cảnh bước vào Hắc Vũ thế giới.

	Như vậy qua lại vô số lần.

	Như vậy, thế giới này khói đen, là không phải là bởi vì hắn duyên cớ, mới bị Hắc Vũ thế giới bên
